acc,precision,recall,f1_score,loss
0.3309557774607703,0.31310253697433776,0.33283451757477733,0.27943991029579296,3.4886545836925507
0.5235378031383737,0.5060690572362004,0.516774495345924,0.45603609479612,2.5851068740541283
0.6191155492154066,0.6236230706200315,0.6170170918547542,0.5705336265522352,2.031905706633221
0.6776034236804565,0.6696806089406909,0.6752660939349251,0.6402244378802288,1.6485901170156219
0.7218259629101283,0.7247252938047438,0.7198267821644445,0.6938895021051905,1.3596705435351892
0.7532097004279601,0.750671730866536,0.7497920189478631,0.7257336771978934,1.1480200226334007
0.7746077032810271,0.7749053976326704,0.7734630088526193,0.7564211071997335,1.0352815257554704
0.7902995720399429,0.7853605205591453,0.7895557544908194,0.7765811354880866,0.9215692395175045
0.7860199714693296,0.7861811709214306,0.7877149906370686,0.7738187310790814,0.8956429612907496
0.797432239657632,0.787763354971147,0.796163108176095,0.7817072967564286,0.8650860436768695
0.7817403708987162,0.771317931707542,0.7785712844154403,0.7625316927080986,0.8669636674987321
0.7988587731811697,0.7936558391103845,0.7971296380387289,0.786618840464816,0.8604513502425768
0.797432239657632,0.7943430752254281,0.7992852385709528,0.788425965051046,0.8748108309439637
0.7917261055634808,0.7835423234773884,0.7908427431154703,0.7746728256432681,0.883890064835379
0.7945791726105563,0.7916486832071249,0.7962015257469802,0.7803623600149762,0.9100449800660665
0.7902995720399429,0.7863256872997132,0.7931927740369299,0.7788744348769207,0.9282803395022214
0.7902995720399429,0.7808998000556442,0.7904751093062782,0.7786518513234802,0.9452349808363413
0.8002853067047075,0.7885354184055483,0.8013405786133059,0.7859017424726921,0.9570234499194405
0.8017118402282454,0.7885903057980981,0.8018554677645586,0.7892145653379969,0.9585207822330465
0.7845934379457917,0.7770264007276995,0.7858939040757222,0.770794125294661,0.9444904753895984
