,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
61,12.0,4054.6666666666665,96.38967629870793,3932.0,4036.75,4039.5,4042.25,4280.0,12.0,37.833333333333336,1.9462473604038075,37.0,37.0,37.0,37.0,42.0
62,1009.0,2700.2775024777006,1636.8977373916437,7.0,1285.0,2594.0,4103.0,5661.0,1009.0,25.503468780971257,14.870347006659891,1.0,13.0,24.0,39.0,51.0
63,2.0,5072.0,104.65180361560904,4998.0,5035.0,5072.0,5109.0,5146.0,2.0,48.0,0.0,48.0,48.0,48.0,48.0,48.0
64,69.0,1991.159420289855,1548.863963410796,38.0,940.0,990.0,3276.0,5562.0,69.0,19.63768115942029,13.395533731646129,1.0,11.0,11.0,26.0,51.0
65,13.0,1858.923076923077,1047.5491604644355,511.0,567.0,2119.0,2122.0,3894.0,13.0,18.384615384615383,9.376730609496944,6.0,6.0,22.0,22.0,36.0
66,52.0,3272.8846153846152,1450.8243857166328,23.0,2323.75,3604.0,4395.5,5602.0,52.0,30.865384615384617,14.407281446293046,1.0,22.0,31.0,44.0,51.0
68,2.0,2490.5,3343.907968231183,126.0,1308.25,2490.5,3672.75,4855.0,2.0,23.5,31.81980515339464,1.0,12.25,23.5,34.75,46.0
69,56.0,2534.875,1808.8431467502799,15.0,638.5,2606.0,4327.75,5274.0,56.0,23.857142857142858,17.031979089005237,1.0,6.75,24.0,43.25,48.0
70,4.0,3775.75,1181.833991444371,2003.0,3774.5,4366.0,4367.25,4368.0,4.0,37.5,11.0,21.0,37.5,43.0,43.0,43.0
71,282.0,2937.2659574468084,1452.4424870283974,6.0,2030.5,3046.5,4151.75,5364.0,282.0,27.46808510638298,13.649164427120343,1.0,21.0,24.5,41.0,50.0
72,74.0,2448.972972972973,1534.8427162556738,63.0,1008.5,2435.0,3996.75,5560.0,74.0,23.14864864864865,13.870914116337335,1.0,11.25,23.0,37.0,51.0
73,4.0,3331.0,965.675929077659,1964.0,2992.25,3673.5,4012.25,4013.0,4.0,30.25,8.05708797684788,21.0,24.75,31.5,37.0,37.0
74,2.0,101.5,33.23401871576773,78.0,89.75,101.5,113.25,125.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
75,1171.0,2671.338172502135,1616.202835942672,3.0,1138.5,2809.0,3981.5,5651.0,1171.0,25.07002561912895,14.745077634376413,1.0,12.0,24.0,37.0,51.0
76,918.0,2900.288671023965,1569.189179489668,4.0,1548.5,3019.0,4156.75,5655.0,918.0,27.31917211328976,14.123133631275145,1.0,19.0,24.0,41.0,51.0
