,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
64,47.0,2280.31914893617,1612.8137727260737,117.0,742.5,1984.0,3904.5,5336.0,47.0,20.27659574468085,17.320134209314812,2.0,5.0,14.0,38.5,56.0
65,9.0,2881.222222222222,1388.4048200883071,893.0,1289.0,3672.0,3762.0,4237.0,9.0,27.555555555555557,16.078799015404655,6.0,7.0,37.0,37.0,44.0
66,7.0,2282.285714285714,1204.0598980512714,666.0,1728.0,1732.0,2867.5,4387.0,7.0,18.714285714285715,12.605743211122535,5.0,13.0,13.0,21.5,44.0
69,24.0,2650.5,1656.3422509173377,105.0,1689.5,2368.0,4419.5,5180.0,24.0,23.291666666666668,17.94551940364688,2.0,13.0,16.0,44.5,54.0
70,4.0,1805.75,977.1667803740908,959.0,959.75,1805.0,2651.0,2654.0,4.0,12.0,6.928203230275509,6.0,6.0,12.0,18.0,18.0
71,135.0,2862.392592592593,1454.571348338543,18.0,1892.5,2774.0,4203.5,5083.0,135.0,25.88888888888889,16.188565462736147,2.0,14.0,21.0,43.0,53.0
72,26.0,2616.8846153846152,1304.0702535346193,89.0,1926.0,2481.0,3694.75,5163.0,26.0,22.346153846153847,14.474646269093578,2.0,14.0,16.5,36.25,54.0
73,2.0,1262.5,1212.688129734929,405.0,833.75,1262.5,1691.25,2120.0,2.0,9.5,9.192388155425117,3.0,6.25,9.5,12.75,16.0
74,2.0,675.0,309.7127701597078,456.0,565.5,675.0,784.5,894.0,2.0,5.0,1.4142135623730951,4.0,4.5,5.0,5.5,6.0
75,1105.0,2704.2914027149322,1548.3900808723147,25.0,1223.0,2791.0,4116.0,5355.0,1105.0,24.43710407239819,16.75580903846613,2.0,7.0,22.0,40.0,56.0
76,377.0,2692.9708222811673,1534.6214020241773,11.0,1213.0,2679.0,4144.0,5362.0,377.0,24.103448275862068,16.99459907300663,2.0,7.0,19.0,40.0,56.0
